Country Name,Year,score_pca_economics,score_pca_wellbeing
Chile,2000,-0.6059981347138694,-0.07758560056119854
Chile,2001,-0.5984005820565689,-0.0752865182165661
Chile,2002,-0.5930363164923073,-0.10126879911475133
Chile,2003,-0.5941936547158203,-0.12196583747024536
Chile,2004,-0.5422717167276722,-0.09726079942037869
Chile,2005,-0.5344605085534363,-0.06814433883308113
Chile,2006,-0.5484648126499899,-0.04788263638037209
Chile,2007,-0.5375061575810257,-0.024652883451853007
Chile,2008,-0.4702978254307485,-0.005315635283860545
Chile,2009,-0.3514352816982536,0.004611971764744566
Chile,2010,-0.4075696191773341,0.011016371997471401
Chile,2011,-0.39659414136446414,0.008419137409648364
Chile,2012,-0.4053841634204901,-0.009018804070650185
Chile,2013,-0.4038702638140969,-0.003780598165074355
Chile,2014,-0.3819444599954228,0.01305349229838075
Chile,2015,-0.3829934862734784,0.022727314053795418
Chile,2016,-0.3488687939562595,0.0014673411055129981
Chile,2017,-0.30244391362767103,-0.05302189288396658
Chile,2018,-0.2599019024872774,-0.07569815968668098
Chile,2019,-0.2679553624341975,-0.1590188569326419
Chile,2020,-0.12847220076272245,-0.2833488758393798
Chile,2021,-0.10999181072125368,-0.32820970120782766
Chile,2022,-0.07476997954739373,-0.2145845349964296
Chile,2023,0.01662231226051051,-0.17465495277912302
Costa Rica,2000,-0.9826252233187691,0.3720601929440186
Costa Rica,2001,-0.9247959670297337,0.2119873697479532
Costa Rica,2002,-0.8902048749479206,0.12766663479831153
Costa Rica,2003,-0.8556090522656055,0.16226383260353994
Costa Rica,2004,-0.826346700473976,0.16794430260751136
Costa Rica,2005,-0.7773138490360385,0.21828237571501702
Costa Rica,2006,-0.7657224480748152,0.11551314044883179
Costa Rica,2007,-0.7696547171411465,0.13094602807054254
Costa Rica,2008,-0.688633893109321,0.1689853442345688
Costa Rica,2009,-0.5548517589357368,0.10248501737300725
Costa Rica,2010,-0.4479393157280871,0.08839798316727163
Costa Rica,2011,-0.35583701170491305,0.10570816473261557
Costa Rica,2012,-0.3453335322937187,0.10829447545675919
Costa Rica,2013,-0.37816029837350723,0.04700939682241051
Costa Rica,2014,-0.293407849101731,0.0711470650364318
Costa Rica,2015,-0.2870981971242632,0.07400887811091131
Costa Rica,2016,-0.279430884698717,0.007200043339444517
Costa Rica,2017,-0.2715656776046039,-0.009574013746250417
Costa Rica,2018,-0.14635874941259536,-0.011190334223436365
Costa Rica,2019,-0.11369115853660314,-0.07914693482737165
Costa Rica,2020,0.1936262844210846,-0.23029478492178793
Costa Rica,2021,-0.0386988005454276,-0.3568727713558241
Costa Rica,2022,-0.05966184587177578,-0.27366255653537974
Costa Rica,2023,-0.19837858772211014,-0.2011837536824925
Denmark,2000,-0.26932600819271796,0.40648586780560214
Denmark,2001,-0.2508903578500418,0.3694945425015244
Denmark,2002,-0.19078997222161642,0.33544659993576464
Denmark,2003,-0.029912968198066284,0.3382807791238474
Denmark,2004,0.08124547462086612,0.3736362959023402
Denmark,2005,0.1023422251797162,0.3744045993772815
Denmark,2006,0.12802222723330656,0.3746336321144323
Denmark,2007,0.24042211314734113,0.34862938839669877
Denmark,2008,0.3157700313936876,0.39508611650915093
Denmark,2009,0.3064199446837232,0.33133870672239285
Denmark,2010,0.3677138345692782,0.34125309585222885
Denmark,2011,0.43926682473462764,0.31122046765306677
Denmark,2012,0.3983017452560543,0.294362309590228
Denmark,2013,0.43800477220361017,0.25693430725129146
Denmark,2014,0.42651930768107116,0.2858794768154992
Denmark,2015,0.25204289804885727,0.29894074002590243
Denmark,2016,0.2599945870323961,0.35106828387429634
Denmark,2017,0.3187902906418498,0.3340959955959104
Denmark,2018,0.3727710545779863,0.34073044981789935
Denmark,2019,0.33731420384448374,0.37010075990435043
Denmark,2020,0.40814863970982984,0.375106788222045
Denmark,2021,0.5287529555370125,0.37414237696200936
Denmark,2022,0.5241562111189912,0.27469305731029664
Denmark,2023,0.5392868566274243,0.2690394775262705
Germany,2000,-0.22156183419811004,0.08244869076087208
Germany,2001,-0.22158454597147137,0.04405304656020331
Germany,2002,-0.1563887813523994,0.027075832552369616
Germany,2003,-0.015839429875104984,0.026643308472969973
Germany,2004,0.08690704974333241,0.029804187903755663
Germany,2005,0.13563228904020097,-0.021755312742316013
Germany,2006,0.1358895020042993,-0.0008703042681972861
Germany,2007,0.18316731483252865,0.020031166447983584
Germany,2008,0.212165338877099,0.040381057607702386
Germany,2009,0.14683808094756295,0.03820105214694608
Germany,2010,0.12652531872959988,0.06845209986027134
Germany,2011,0.17090291319011963,0.07857490652973709
Germany,2012,0.11701293968325932,0.07728056442530135
Germany,2013,0.16146869752699344,0.07162944153311873
Germany,2014,0.1837835502947565,0.14126608656998146
Germany,2015,0.05291897425116371,0.11080985145079131
Germany,2016,0.06269044248340569,0.18033974982926188
Germany,2017,0.10236476875905168,0.17566457517766226
Germany,2018,0.15924721487055601,0.15466958991138813
Germany,2019,0.13778989510979256,0.16859759734420632
Germany,2020,0.15787843287456704,0.13301797355801054
Germany,2021,0.27962746591656873,0.14378833169380711
Germany,2022,0.29744361572294276,0.07519417576682796
Germany,2023,0.38224285587015183,0.03453552252610903
Indonesia,2000,-1.0057190202765003,0.4301100138910015
Indonesia,2001,-0.9013338777268317,0.39657745798390504
Indonesia,2002,-0.8394930955595465,0.4201815859543073
Indonesia,2003,-0.800122425764735,0.43257943596687104
Indonesia,2004,-0.7762175276307675,0.3243365751282759
Indonesia,2005,-0.6759141333417219,0.44865650039418226
Indonesia,2006,-0.69058257673858,0.4057401517578953
